01 Mar 2021 18:18:00 MSK |             ::1 |      53.547µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:00 MSK |             ::1 |     139.849µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      79.463µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      53.521µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      70.227µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      92.937µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      87.717µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |      106.66µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |     103.194µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:01 MSK |             ::1 |     100.643µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |      56.882µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |      99.978µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |      99.611µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |     1.10246ms | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |      93.885µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:02 MSK |             ::1 |     130.993µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:03 MSK |             ::1 |      132.83µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:03 MSK |             ::1 |      77.642µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:03 MSK |             ::1 |      84.697µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:04 MSK |             ::1 |      73.127µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:04 MSK |             ::1 |      80.186µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:04 MSK |             ::1 |      54.768µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:04 MSK |             ::1 |      58.809µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:07 MSK |             ::1 |      54.022µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:07 MSK |             ::1 |      74.218µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:18:07 MSK |             ::1 |      63.279µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:01 MSK |             ::1 |       5.292µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:02 MSK |             ::1 |      93.221µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:04 MSK |             ::1 |       4.416µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       5.089µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       5.405µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       4.781µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       5.518µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       5.469µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:04 MSK |             ::1 |       4.658µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:05 MSK |             ::1 |       4.057µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:05 MSK |             ::1 |       4.943µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:05 MSK |             ::1 |       6.458µs | 404 | [GET]     | /home 
01 Mar 2021 18:19:06 MSK |             ::1 |     118.267µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:06 MSK |             ::1 |      78.915µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:06 MSK |             ::1 |      94.353µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:07 MSK |             ::1 |      83.872µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:13 MSK |   192.168.0.107 |     169.424µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:14 MSK |   192.168.0.107 |     164.988µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:16 MSK |   192.168.0.107 |     109.431µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:17 MSK |   192.168.0.107 |     147.298µs | 200 | [GET]     | /metrics 
01 Mar 2021 18:19:18 MSK |   192.168.0.107 |     112.017µs | 200 | [GET]     | /metrics 
